TEAM,OffRtg,Predicted_OffRtg,Error
Boston Celtics,124.3,120.47,3.83
New York Knicks,123.2,119.37,3.83
Denver Nuggets,122.9,118.81,4.09
Houston Rockets,120.4,119.45,0.95
San Antonio Spurs,119.0,114.71,4.29
Oklahoma City Thunder,118.7,120.72,-2.02
Utah Jazz,118.6,113.31,5.29
LA Clippers,117.9,113.17,4.73
Detroit Pistons,117.5,115.55,1.95
Cleveland Cavaliers,117.3,117.69,-0.39
Golden State Warriors,116.3,114.31,1.99
Memphis Grizzlies,116.1,114.77,1.33
New Orleans Pelicans,116.0,113.87,2.13
Charlotte Hornets,116.0,112.75,3.25
Dallas Mavericks,115.4,119.35,-3.95
Minnesota Timberwolves,114.8,113.07,1.73
Atlanta Hawks,114.8,114.86,-0.06
Los Angeles Lakers,114.2,113.53,0.67
Miami Heat,114.1,115.43,-1.33
Chicago Bulls,113.7,113.76,-0.06
Brooklyn Nets,113.5,110.11,3.39
Washington Wizards,113.3,113.14,0.16
Philadelphia 76ers,113.1,110.94,2.16
Phoenix Suns,112.4,115.6,-3.2
Milwaukee Bucks,111.1,110.7,0.4
Orlando Magic,110.6,110.8,-0.2
Portland Trail Blazers,110.5,108.26,2.24
Toronto Raptors,109.9,112.64,-2.74
Indiana Pacers,109.8,111.68,-1.88
Sacramento Kings,108.0,110.64,-2.64
