Archetype,Category,Player_Count,USG_Pct,AST_Pct,ThreePt_Rate,PTS
3&D Wing,Wing,2231,16.5,11.9,46.7,10.6
Finisher,Finisher,836,16.1,10.8,13.4,10.6
Movement Shooter,Shooter,513,18.5,11.1,62.7,12.7
Playmaking Big,Big,116,22.3,28.7,19.6,16.2
Post Scorer,Big,148,21.9,12.6,17.9,16.5
Primary Initiator,Primary,437,31.3,31.0,35.5,26.9
Rim Protector,Big,90,16.4,9.2,20.5,9.4
Role Player,Role,1928,16.5,14.3,44.5,9.2
Secondary Ball Handler,Secondary,449,24.2,23.9,36.0,16.9
Shot Creator,Scorer,799,23.6,20.9,32.9,17.9
Stretch Shooter,Shooter,615,21.3,16.9,58.9,13.8
