PLAYER_ID,PLAYER,TEAM,Season,Month,Archetype,Category,Size,USG_Pct,AST_Pct,ThreePt_Rate,Isolation_Freq,Height_Inches,GP,MPG,PTS
1630178,Tyrese Maxey,PHI,2025-26,october,Primary Initiator,Primary,Guard,29.2,35.3,40.17094017094017,14.5,74,5,43.1,35.2
1628983,Shai Gilgeous-Alexander,OKC,2025-26,october,Primary Initiator,Primary,Forward,34.2,28.8,25.31645569620253,26.3,78,6,36.9,34.2
1628374,Lauri Markkanen,UTA,2025-26,october,Movement Shooter,Shooter,Big,27.7,10.7,47.66355140186916,4.0,85,5,37.5,33.8
1630559,Austin Reaves,LAL,2025-26,october,Primary Initiator,Primary,Guard,29.9,36.2,41.48936170212766,13.5,77,6,37.8,32.0
1628973,Jalen Brunson,NYK,2025-26,october,Primary Initiator,Primary,Guard,32.9,29.3,35.08771929824561,14.4,74,5,34.8,31.2
1626164,Devin Booker,PHX,2025-26,october,Primary Initiator,Primary,Guard,30.2,30.5,36.5,14.0,77,6,36.7,30.3
1641705,Victor Wembanyama,SAS,2025-26,october,Shot Creator,Scorer,Big,31.8,18.5,16.666666666666668,14.5,88,5,33.8,30.2
203897,Zach LaVine,SAC,2025-26,october,Secondary Ball Handler,Secondary,Guard,27.6,7.5,42.85714285714285,9.3,77,5,36.6,29.2
1628378,Donovan Mitchell,CLE,2025-26,october,Primary Initiator,Primary,Guard,30.0,23.2,44.44444444444444,11.4,74,5,33.1,28.0
1627759,Jaylen Brown,BOS,2025-26,october,Shot Creator,Scorer,Forward,31.9,21.7,35.714285714285715,20.6,78,6,32.5,27.7
201939,Stephen Curry,GSW,2025-26,october,Primary Initiator,Primary,Guard,29.5,24.4,58.19209039548024,10.1,74,6,31.1,27.0
203944,Julius Randle,MIN,2025-26,october,Shot Creator,Scorer,Forward,26.1,25.0,34.14634146341464,15.8,81,5,35.1,26.6
1627750,Jamal Murray,DEN,2025-26,october,Primary Initiator,Primary,Guard,28.5,24.5,34.73684210526316,14.6,76,5,33.7,26.0
1627783,Pascal Siakam,IND,2025-26,october,Shot Creator,Scorer,Forward,29.1,26.8,30.303030303030305,13.3,80,5,34.6,24.6
1630163,LaMelo Ball,CHA,2025-26,october,Primary Initiator,Primary,Forward,29.7,42.5,54.736842105263165,12.2,79,5,33.3,24.4
202695,Kawhi Leonard,LAC,2025-26,october,Shot Creator,Scorer,Forward,26.6,16.8,32.142857142857146,16.5,78,5,32.8,23.8
1630560,Cam Thomas,BKN,2025-26,october,Shot Creator,Scorer,Guard,32.1,18.2,39.08045977011494,16.4,75,5,30.3,23.4
1628389,Bam Adebayo,MIA,2025-26,october,3&D Wing,Wing,Forward,27.3,11.9,40.0,8.0,81,5,33.7,23.0
1630166,Deni Avdija,POR,2025-26,october,Shot Creator,Scorer,Forward,26.8,18.8,39.21568627450981,14.0,80,6,32.4,22.7
1631094,Paolo Banchero,ORL,2025-26,october,Shot Creator,Scorer,Big,27.0,18.8,23.030303030303028,14.7,82,6,35.4,22.5
1630595,Cade Cunningham,DET,2025-26,october,Primary Initiator,Primary,Forward,28.7,36.9,34.375,11.5,78,5,35.2,22.2
1630532,Franz Wagner,ORL,2025-26,october,Secondary Ball Handler,Secondary,Big,22.3,13.6,27.631578947368425,7.6,82,6,34.8,22.2
1630581,Josh Giddey,CHI,2025-26,october,Secondary Ball Handler,Secondary,Forward,27.9,36.7,27.848101265822784,5.0,79,5,32.7,22.0
201935,James Harden,LAC,2025-26,october,Shot Creator,Scorer,Guard,26.7,38.7,58.57142857142856,42.5,77,5,33.2,21.8
1627742,Brandon Ingram,TOR,2025-26,october,Shot Creator,Scorer,Forward,25.7,18.0,26.751592356687897,13.8,80,6,32.8,21.7
202710,Jimmy Butler III,GSW,2025-26,october,Shot Creator,Scorer,Forward,23.0,21.8,21.6,17.7,78,6,33.3,21.7
1629008,Michael Porter Jr.,BKN,2025-26,october,Movement Shooter,Shooter,Big,25.1,15.1,45.88235294117647,6.9,82,5,32.0,21.6
1641718,Keyonte George,UTA,2025-26,october,Shot Creator,Scorer,Guard,25.8,41.4,44.927536231884055,12.3,76,5,34.2,21.2
1642845,VJ Edgecombe,PHI,2025-26,october,3&D Wing,Wing,Guard,19.6,19.9,39.50617283950618,8.3,76,5,40.1,21.2
1629630,Ja Morant,MEM,2025-26,october,Primary Initiator,Primary,Guard,30.7,38.5,29.94350282485876,14.1,74,6,28.6,20.8
1630567,Scottie Barnes,TOR,2025-26,october,Finisher,Finisher,Forward,24.1,20.3,26.14379084967321,7.9,80,6,33.1,20.8
203076,Anthony Davis,DAL,2025-26,october,Post Scorer,Big,Big,27.8,14.1,14.666666666666666,11.5,82,5,29.9,20.8
1630552,Jalen Johnson,ATL,2025-26,october,Secondary Ball Handler,Secondary,Forward,23.9,25.3,15.068493150684931,7.9,80,5,31.0,20.8
203924,Jerami Grant,POR,2025-26,october,Stretch Shooter,Shooter,Forward,22.5,6.6,51.28205128205129,10.7,79,6,28.2,20.7
203999,Nikola Jokić,DEN,2025-26,october,Playmaking Big,Big,Big,22.0,45.8,31.818181818181824,5.3,83,5,34.7,20.4
