PLAYER_ID,PLAYER,TEAM,GP,MIN,PTS,REB,AST,FGM,FGA,FG3M,FG3A,FTM,FTA,Month,Season,USG_Pct,AST_Pct,TS_Pct,PIE,TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,FRONT_CT_TOUCHES,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,Isolation_Freq,Transition_Freq,PnR_Handler_Freq,RollMan_Freq,PostUp_Freq,SpotUp_Freq,Handoff_Freq,Cut_Freq,OffScreen_Freq,Putbacks_Freq,DFG_Rim_Pct,FGM_Pct_UAST,FGM_AST_Pct,Unassisted_FG_Pct,ThreePt_Rate,MPG,Height,Weight,Height_Inches
203076,Anthony Davis,DAL,5,35.9,30.6,12.2,3.0,10.6,19.4,0.4,1.6,9.0,11.8,october,2024-25,30.4,15.0,62.2,19.2,75.4,3.2,2.54,44.2,5.4,5.2,7.8,11.5,10.3,5.8,19.3,12.5,9.8,,8.8,,14.5,62.9,39.6,60.4,39.6,8.247422680412372,35.9,6-10,253.0,82
203507,Giannis Antetokounmpo,MIL,5,34.5,30.4,11.6,5.8,12.2,18.6,0.0,0.6,6.0,11.4,october,2024-25,33.9,34.9,64.4,20.1,84.8,5.6,3.97,38.2,6.4,4.6,5.0,10.9,26.0,7.7,6.4,20.2,6.1,,7.9,,8.9,57.7,60.7,39.3,60.7,3.225806451612903,34.5,6-11,243.0,83
1628369,Jayson Tatum,BOS,5,35.4,30.2,7.0,5.2,10.2,21.0,4.6,12.2,5.2,7.0,october,2024-25,30.1,23.4,62.7,17.0,80.0,4.6,3.43,47.8,2.4,1.4,2.6,,,,,,,,,,,66.7,68.6,31.4,68.6,58.09523809523809,35.4,6-8,210.0,80
1631094,Paolo Banchero,ORL,5,36.4,29.0,8.8,5.6,9.6,19.4,2.2,6.4,7.6,11.8,october,2024-25,31.1,27.7,59.0,15.9,79.0,5.4,4.06,41.0,1.8,1.2,3.8,14.7,19.8,19.4,5.2,9.3,15.4,2.6,4.7,3.6,2.6,60.9,50.0,50.0,50.0,32.98969072164949,36.4,6-10,250.0,82
1629027,Trae Young,ATL,5,38.3,28.2,5.2,11.6,7.8,19.4,3.0,10.0,9.6,10.6,october,2024-25,30.9,46.8,58.6,15.1,107.0,9.1,5.12,37.0,0.6,0.0,1.2,12.0,20.4,39.3,,,8.4,10.5,,,,85.0,69.2,30.8,69.2,51.54639175257733,38.3,6-1,164.0,73
1630224,Jalen Green,HOU,5,34.8,27.6,5.4,3.0,9.4,21.8,4.4,10.8,4.4,5.4,october,2024-25,30.0,15.3,57.1,14.8,68.2,5.8,5.1,28.4,0.2,0.0,0.8,,,,,,,,,,,34.5,66.0,34.0,66.0,49.54128440366973,34.8,6-4,186.0,76
1630560,Cam Thomas,BKN,5,35.1,27.4,4.2,2.6,8.6,19.8,2.8,8.0,7.4,8.0,october,2024-25,31.2,13.7,58.7,12.8,65.6,4.4,4.01,41.6,0.2,0.2,1.2,16.4,12.0,28.1,,,12.0,17.8,,,,54.5,46.5,53.5,46.5,40.4040404040404,35.1,6-3,210.0,75
1629029,Luka Dončić,LAL,5,37.3,27.2,8.4,6.0,9.6,24.8,2.8,9.6,5.2,6.8,october,2024-25,33.7,27.3,48.9,13.5,78.6,6.8,5.15,29.2,0.4,2.0,1.4,16.0,14.3,36.3,,7.6,8.7,2.3,1.3,7.4,1.7,57.9,66.7,33.3,66.7,38.70967741935484,37.3,6-6,230.0,78
201142,Kevin Durant,PHX,5,39.7,26.8,6.6,3.2,9.4,17.6,2.4,5.2,5.6,7.0,october,2024-25,27.3,14.8,64.8,14.0,71.2,4.2,3.51,45.4,1.2,1.4,1.4,20.8,13.5,18.4,1.7,7.3,15.2,7.5,2.3,7.5,1.1,50.0,36.2,63.8,36.2,29.54545454545454,39.7,6-11,240.0,83
1626164,Devin Booker,PHX,5,36.3,26.4,3.2,5.0,8.0,16.6,3.6,8.0,6.8,7.8,october,2024-25,26.9,21.6,65.9,13.2,59.2,3.9,3.94,40.0,1.0,0.2,1.0,14.0,15.7,33.1,1.8,3.8,9.5,7.5,1.6,7.5,1.7,68.2,32.5,67.5,32.5,48.192771084337345,36.3,6-6,206.0,78
1627759,Jaylen Brown,BOS,5,35.9,25.8,7.4,3.6,8.8,22.2,2.4,7.8,5.8,7.4,october,2024-25,32.5,15.5,50.7,11.3,61.4,4.5,4.36,29.2,1.2,1.4,3.2,20.6,20.4,22.2,1.8,4.7,13.0,4.1,1.1,7.4,1.8,73.7,65.9,34.1,65.9,35.13513513513514,35.9,6-6,223.0,78
1630595,Cade Cunningham,DET,5,36.7,25.6,5.6,7.4,9.6,20.4,2.8,7.0,3.6,4.2,october,2024-25,32.4,36.6,57.5,13.8,96.0,8.2,5.13,38.8,1.0,1.4,1.2,11.5,17.5,38.7,,3.5,8.5,8.4,1.6,4.4,1.3,55.6,68.8,31.3,68.8,34.31372549019608,36.7,6-6,220.0,78
1626181,Norman Powell,LAC,5,33.3,25.4,3.0,1.6,9.4,19.0,3.8,9.2,2.8,3.4,october,2024-25,26.7,7.8,62.0,12.9,43.6,2.1,2.91,31.4,0.2,0.0,0.2,10.9,24.6,11.3,,,32.5,3.8,1.5,10.9,,63.6,34.0,66.0,34.0,48.421052631578945,33.3,6-4,215.0,76
