PLAYER_ID,PLAYER,TEAM,GP,MIN,PTS,REB,AST,FGM,FGA,FG3M,FG3A,FTM,FTA,Month,Season,USG_Pct,AST_Pct,TS_Pct,PIE,TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,FRONT_CT_TOUCHES,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,Isolation_Freq,Transition_Freq,PnR_Handler_Freq,RollMan_Freq,PostUp_Freq,SpotUp_Freq,Handoff_Freq,Cut_Freq,OffScreen_Freq,Putbacks_Freq,DFG_Rim_Pct,Unassisted_FG_Pct,ThreePt_Rate,MPG,Height,Weight,Height_Inches
1629630,Ja Morant,MEM,6,35.4,28.7,5.2,7.7,10.5,20.2,2.3,6.0,5.3,6.3,october,2021-22,31.8,39.3,62.4,15.8,94.2,8.8,5.61,40.0,1.2,0.0,2.0,14.1,19.6,40.4,,,11.0,5.0,2.4,,,54.1,,29.7029702970297,35.4,6-3,174.0,75
201939,Stephen Curry,GSW,6,34.9,28.7,7.5,6.5,9.0,21.3,5.2,13.3,5.5,5.7,october,2021-22,32.2,29.5,60.2,17.9,80.3,5.3,3.99,37.2,1.0,0.0,2.5,10.1,13.8,21.1,,,11.6,12.0,7.0,18.0,1.3,66.7,,62.441314553990615,34.9,6-2,185.0,74
201142,Kevin Durant,BKN,7,34.3,27.7,8.9,5.3,10.6,18.1,1.6,4.1,5.0,6.3,october,2021-22,30.5,29.8,66.3,21.9,67.4,4.1,3.67,35.3,2.0,3.1,1.0,20.8,13.5,18.4,1.7,7.3,15.2,7.5,2.3,7.5,1.1,48.3,,22.651933701657452,34.3,6-10,240.0,82
202331,Paul George,LAC,5,33.1,27.6,7.8,3.6,10.8,21.6,3.6,9.6,2.4,3.0,october,2021-22,33.2,20.7,60.2,19.2,78.4,5.0,3.8,33.8,2.2,1.0,1.8,18.4,12.4,14.2,,5.5,22.9,3.2,,12.4,,54.5,,44.44444444444444,33.1,6-8,220.0,80
203507,Giannis Antetokounmpo,MIL,7,32.0,27.3,11.1,6.0,9.9,18.6,1.3,4.4,6.3,8.9,october,2021-22,33.3,32.3,60.7,20.9,76.1,5.0,3.93,34.7,3.1,3.3,5.0,10.9,26.0,7.7,6.4,20.2,6.1,,7.9,,8.9,45.0,,23.655913978494624,32.0,6-11,242.0,83
1628369,Jayson Tatum,BOS,6,39.1,26.7,9.2,3.8,10.0,25.0,2.5,9.2,4.2,5.3,october,2021-22,32.5,18.3,48.8,12.5,76.2,4.9,3.82,42.2,1.8,2.0,2.3,,,,,,,,,,,60.0,,36.8,39.1,6-8,210.0,80
1627759,Jaylen Brown,BOS,5,39.4,26.4,6.4,2.4,10.0,20.6,2.4,7.4,4.0,5.0,october,2021-22,27.8,10.3,57.9,12.1,64.0,3.6,3.33,35.6,1.8,1.8,1.4,20.6,20.4,22.2,1.8,4.7,13.0,4.1,1.1,7.4,1.8,57.7,,35.92233009708738,39.4,6-6,223.0,78
203897,Zach LaVine,CHI,6,34.1,25.5,5.2,4.5,8.5,17.7,2.5,6.2,6.0,6.3,october,2021-22,29.2,24.1,62.3,16.6,65.0,4.5,4.18,31.8,0.8,0.3,1.3,9.3,23.5,19.5,4.0,,22.7,6.3,3.4,8.5,,66.7,,35.02824858757062,34.1,6-5,200.0,77
202710,Jimmy Butler III,MIA,6,34.3,25.3,7.0,5.5,9.0,17.0,0.5,1.3,6.8,7.7,october,2021-22,27.5,26.6,62.2,21.0,75.7,5.4,4.26,40.8,1.5,4.0,6.8,17.7,17.2,13.1,2.7,6.1,14.0,1.7,12.1,2.4,7.9,70.6,,7.647058823529412,34.3,6-7,230.0,79
1626157,Karl-Anthony Towns,MIN,5,33.9,25.2,7.8,3.8,8.8,16.6,3.0,6.0,4.6,4.8,october,2021-22,27.7,20.2,67.3,17.7,67.6,2.5,2.25,50.2,5.4,6.2,4.8,10.0,15.2,1.6,13.8,11.1,19.9,1.9,5.9,2.3,12.6,50.0,,36.14457831325301,33.9,6-11,248.0,83
