TEAM,TEAM_ID,OffRtg,Passes_Per_Poss,Secondary AST,AST_To_Pass_Pct,Potential_AST_To_Pass_Pct,Dist_Miles_Off,Very_Tight_Pct,Tight_Pct,Open_Pct,Wide_Open_Pct,FGM_AST_Pct,TCI_Raw,TCI
Oklahoma City Thunder,1610612760,119.2,2.6789041757180785,3.7,9.9,17.47321758404137,9.8,5.8,32.6,32.1,29.5,60.2,5.203892349101914,92.22285255793733
Cleveland Cavaliers,1610612739,121.0,2.6533204306277973,4.3,10.5,18.2803738317757,9.7,6.6,38.6,29.7,25.1,63.1,6.221265385175116,100.0
Boston Celtics,1610612738,119.5,2.82308559969921,4.4,9.5,17.582817619220968,9.2,6.3,34.1,32.3,27.4,62.8,5.299880209474758,92.95661659167767
Houston Rockets,1610612745,114.9,2.636180904522613,2.5,8.9,16.622188333968737,9.6,7.8,39.7,30.3,22.2,54.9,0.19531160426313754,53.93554834705152
New York Knicks,1610612752,117.3,2.849178302236501,3.6,9.8,15.86059743954481,9.7,6.1,40.5,33.4,20.0,63.4,3.9584206734760663,82.702041102543
Denver Nuggets,1610612743,118.9,2.8052113352545627,3.3,10.9,18.006318006318008,9.3,8.0,41.0,27.6,23.4,68.3,4.665644150517735,88.10829924033537
Indiana Pacers,1610612754,115.4,3.249130799664309,4.5,8.8,14.70499243570348,10.0,5.5,34.8,29.6,30.1,67.1,0.9748004357064886,59.894227569546544
LA Clippers,1610612746,114.3,2.7174712927521916,3.4,9.4,14.903129657228021,9.4,6.5,44.9,29.0,19.6,60.5,1.4227178221918435,63.31826126519614
Los Angeles Lakers,1610612747,115.0,2.943641761504206,4.2,9.0,15.920055134390076,9.4,7.0,36.3,32.6,24.1,63.5,1.902031414401233,66.98229829529578
Minnesota Timberwolves,1610612750,115.7,2.912584907990614,4.0,9.1,15.159944367176633,9.7,5.5,38.0,30.5,26.0,63.7,1.08580655294659,60.74279629521213
Golden State Warriors,1610612744,114.2,3.3329744279946163,4.8,8.8,16.70680313064419,10.1,6.6,37.1,29.8,26.5,71.4,-1.1002748712528652,44.03164222140767
Memphis Grizzlies,1610612763,117.2,2.6662281216962294,3.5,10.3,17.63005780346821,10.0,6.5,39.4,26.6,27.5,63.5,2.380873715665691,70.64273261622498
Milwaukee Bucks,1610612749,115.1,2.758580456976179,3.3,9.2,16.29335260115607,9.5,6.4,34.8,34.6,24.3,60.7,1.994591523812992,67.68985942835585
Detroit Pistons,1610612765,114.6,2.6658925979680697,2.8,9.8,16.85267857142857,9.7,7.5,43.8,28.6,20.0,61.8,0.19032725098219094,53.89744624586073
Orlando Magic,1610612753,108.9,2.8862759924385637,3.1,8.2,16.075904045828857,9.8,7.2,37.1,30.2,25.5,60.3,-3.831710637454373,23.151613039324978
Atlanta Hawks,1610612737,113.7,2.711841333176857,3.4,10.5,18.7721788502484,9.9,6.3,40.0,26.3,27.3,68.2,1.0124728936818252,60.18220872276243
Sacramento Kings,1610612758,115.9,2.8758578581023326,3.2,9.2,16.190807799442897,9.9,7.3,38.6,29.8,24.4,61.5,0.22000506251431406,54.12431358739548
Chicago Bulls,1610612741,113.2,2.9726441631504925,4.4,9.4,16.618170061429034,9.8,6.7,34.6,27.3,31.4,67.3,0.273054431198527,54.529841105166035
Dallas Mavericks,1610612742,113.7,2.6596746783199805,3.0,9.4,15.456586826347305,9.6,6.7,42.9,30.4,20.0,60.1,0.19872234504053954,53.961621216070036
Miami Heat,1610612748,112.4,2.951227374163154,2.9,9.1,16.190148122631758,10.0,6.0,41.3,29.1,23.6,65.3,-2.287423489689572,34.95667216238308
Phoenix Suns,1610612756,114.7,3.1059229158970574,5.0,9.0,16.319895968790636,10.0,5.0,37.6,30.4,27.1,67.3,1.6339049020130503,64.93264753197549
Portland Trail Blazers,1610612757,111.0,2.78271484375,2.4,8.6,16.151079136690647,9.6,8.0,38.7,28.9,24.4,58.7,-3.0220327086572727,29.341068047041425
San Antonio Spurs,1610612759,113.5,2.8870854088203135,3.8,9.9,17.49482401656315,9.7,6.8,36.8,31.0,25.4,68.5,1.133378806298306,61.106454870139046
Toronto Raptors,1610612761,109.6,2.971845245269374,3.0,9.5,17.791819088792817,9.9,7.8,40.7,27.6,23.9,68.5,-2.760141350655299,31.343055157732664
Brooklyn Nets,1610612751,108.1,3.144190715181933,2.8,8.2,15.739528795811516,10.1,7.2,37.6,30.0,25.2,66.9,-6.8603052504893824,0.0
Philadelphia 76ers,1610612755,111.0,2.902099283773772,3.1,8.1,14.200976971388696,9.8,6.8,37.8,31.4,24.1,58.4,-2.863240556597642,30.554929566289836
New Orleans Pelicans,1610612740,109.7,2.8518265952264983,2.8,9.0,15.441176470588236,9.9,6.7,42.5,28.3,22.4,63.6,-3.5359439650556705,25.41255463904657
Charlotte Hornets,1610612766,106.7,2.8825349671989104,3.3,8.6,15.95070422535211,10.0,6.9,39.6,29.4,24.1,63.5,-4.466022455585426,18.302716558945793
Washington Wizards,1610612764,105.8,2.8632899295185763,3.1,8.6,16.455696202531644,10.1,7.0,36.9,29.6,26.5,63.7,-5.236961082687869,12.409398022709627
Utah Jazz,1610612762,110.2,2.730377313145879,2.2,9.2,17.394442439552506,10.0,7.1,40.3,31.4,21.2,63.3,-4.0030451603366215,21.841873347860588
