Rank,TEAM,TCI,OffRtg,Predicted_OffRtg
1,Boston Celtics,100.0,121.25,119.49507757933384
2,Denver Nuggets,76.64346309759206,121.1,117.10822256171215
3,Houston Rockets,72.24397141946326,119.65,116.65862899264825
4,Cleveland Cavaliers,71.58252730319903,115.82499999999999,116.59103458794783
5,Oklahoma City Thunder,67.75531971911913,117.575,116.19992396809394
6,New York Knicks,57.583002257243834,117.375,115.1603928476985
7,Minnesota Timberwolves,57.00419199772957,117.325,115.10124297552588
8,Chicago Bulls,53.93939391659747,114.95,114.78804463158846
9,Milwaukee Bucks,53.34562040806894,113.7,114.72736563263909
10,Los Angeles Lakers,49.96431857383128,116.55,114.38182308569107
11,Toronto Raptors,49.06660546309303,113.525,114.29008384148275
12,Miami Heat,47.52907354116708,113.75,114.13296012926735
13,Charlotte Hornets,45.854463330246645,117.75,113.96182809024988
14,Phoenix Suns,45.64687806518602,113.875,113.94061450308305
15,Golden State Warriors,43.780703597785916,115.975,113.74990609841318
16,Atlanta Hawks,43.147004224219835,112.975,113.68514698897071
17,San Antonio Spurs,40.53190336094464,116.525,113.41790417625512
18,Philadelphia 76ers,37.97593825437786,116.07499999999999,113.15670457440636
19,LA Clippers,33.76647968145209,115.85,112.72653089933458
20,Detroit Pistons,32.86382565092201,114.825,112.63428673184735
21,Sacramento Kings,28.6421780515401,109.625,112.20286743380166
22,Memphis Grizzlies,26.39013205782771,112.85,111.9727259833603
23,Orlando Magic,21.159660120949688,114.0,111.43821274455136
24,New Orleans Pelicans,21.13941175030514,111.35,111.43614351976545
25,Dallas Mavericks,20.17664700603583,109.7,111.33775650844395
26,Washington Wizards,14.991985361905119,109.5,110.80792472252159
27,Utah Jazz,13.115557972903789,114.35,110.61616854962
28,Portland Trail Blazers,12.460830207112105,114.075,110.54926050329935
29,Indiana Pacers,9.61566944677249,107.575,110.25850737216814
30,Brooklyn Nets,0.0,112.4,109.27586131626016
