Rank,TEAM,TCI,OffRtg
1,Cleveland Cavaliers,100.0,121.0
2,Boston Celtics,92.95661659167767,119.5
3,Oklahoma City Thunder,92.22285255793733,119.2
4,Denver Nuggets,88.10829924033537,118.9
5,New York Knicks,82.702041102543,117.3
6,Memphis Grizzlies,70.64273261622498,117.2
7,Milwaukee Bucks,67.68985942835585,115.1
8,Los Angeles Lakers,66.98229829529578,115.0
9,Phoenix Suns,64.93264753197549,114.7
10,LA Clippers,63.31826126519614,114.3
11,San Antonio Spurs,61.106454870139046,113.5
12,Minnesota Timberwolves,60.74279629521213,115.7
13,Atlanta Hawks,60.18220872276243,113.7
14,Indiana Pacers,59.894227569546544,115.4
15,Chicago Bulls,54.529841105166035,113.2
16,Sacramento Kings,54.12431358739548,115.9
17,Dallas Mavericks,53.961621216070036,113.7
18,Houston Rockets,53.93554834705152,114.9
19,Detroit Pistons,53.89744624586073,114.6
20,Golden State Warriors,44.03164222140767,114.2
21,Miami Heat,34.95667216238308,112.4
22,Toronto Raptors,31.343055157732664,109.6
23,Philadelphia 76ers,30.554929566289836,111.0
24,Portland Trail Blazers,29.341068047041425,111.0
25,New Orleans Pelicans,25.41255463904657,109.7
26,Orlando Magic,23.151613039324978,108.9
27,Utah Jazz,21.841873347860588,110.2
28,Charlotte Hornets,18.302716558945793,106.7
29,Washington Wizards,12.409398022709627,105.8
30,Brooklyn Nets,0.0,108.1
