TEAM,GP,OffRtg,Passes_Per_Poss,Secondary AST,AST_To_Pass_Pct,Potential_AST_To_Pass_Pct,Dist_Miles_Off,Very_Tight_Pct,Tight_Pct,Open_Pct,Wide_Open_Pct,FGM_AST_Pct
Oklahoma City Thunder,82,119.2,2.6789041757180785,3.7,9.9,17.47321758404137,9.8,5.8,32.6,32.1,29.5,60.2
Cleveland Cavaliers,82,121.0,2.6533204306277973,4.3,10.5,18.2803738317757,9.7,6.6,38.6,29.7,25.1,63.1
Boston Celtics,82,119.5,2.82308559969921,4.4,9.5,17.582817619220968,9.2,6.3,34.1,32.3,27.4,62.8
Houston Rockets,82,114.9,2.636180904522613,2.5,8.9,16.622188333968737,9.6,7.8,39.7,30.3,22.2,54.9
New York Knicks,82,117.3,2.849178302236501,3.6,9.8,15.86059743954481,9.7,6.1,40.5,33.4,20.0,63.4
Denver Nuggets,82,118.9,2.8052113352545627,3.3,10.9,18.006318006318008,9.3,8.0,41.0,27.6,23.4,68.3
Indiana Pacers,82,115.4,3.249130799664309,4.5,8.8,14.70499243570348,10.0,5.5,34.8,29.6,30.1,67.1
LA Clippers,82,114.3,2.7174712927521916,3.4,9.4,14.903129657228021,9.4,6.5,44.9,29.0,19.6,60.5
Los Angeles Lakers,82,115.0,2.943641761504206,4.2,9.0,15.920055134390076,9.4,7.0,36.3,32.6,24.1,63.5
Minnesota Timberwolves,82,115.7,2.912584907990614,4.0,9.1,15.159944367176633,9.7,5.5,38.0,30.5,26.0,63.7
Golden State Warriors,82,114.2,3.3329744279946163,4.8,8.8,16.70680313064419,10.1,6.6,37.1,29.8,26.5,71.4
Memphis Grizzlies,82,117.2,2.6662281216962294,3.5,10.3,17.63005780346821,10.0,6.5,39.4,26.6,27.5,63.5
Milwaukee Bucks,82,115.1,2.758580456976179,3.3,9.2,16.29335260115607,9.5,6.4,34.8,34.6,24.3,60.7
Detroit Pistons,82,114.6,2.6658925979680697,2.8,9.8,16.85267857142857,9.7,7.5,43.8,28.6,20.0,61.8
Orlando Magic,82,108.9,2.8862759924385637,3.1,8.2,16.075904045828857,9.8,7.2,37.1,30.2,25.5,60.3
Atlanta Hawks,82,113.7,2.711841333176857,3.4,10.5,18.7721788502484,9.9,6.3,40.0,26.3,27.3,68.2
Sacramento Kings,82,115.9,2.8758578581023326,3.2,9.2,16.190807799442897,9.9,7.3,38.6,29.8,24.4,61.5
Chicago Bulls,82,113.2,2.9726441631504925,4.4,9.4,16.618170061429034,9.8,6.7,34.6,27.3,31.4,67.3
Dallas Mavericks,82,113.7,2.6596746783199805,3.0,9.4,15.456586826347305,9.6,6.7,42.9,30.4,20.0,60.1
Miami Heat,82,112.4,2.951227374163154,2.9,9.1,16.190148122631758,10.0,6.0,41.3,29.1,23.6,65.3
Phoenix Suns,82,114.7,3.1059229158970574,5.0,9.0,16.319895968790636,10.0,5.0,37.6,30.4,27.1,67.3
Portland Trail Blazers,82,111.0,2.78271484375,2.4,8.6,16.151079136690647,9.6,8.0,38.7,28.9,24.4,58.7
San Antonio Spurs,82,113.5,2.8870854088203135,3.8,9.9,17.49482401656315,9.7,6.8,36.8,31.0,25.4,68.5
Toronto Raptors,82,109.6,2.971845245269374,3.0,9.5,17.791819088792817,9.9,7.8,40.7,27.6,23.9,68.5
Brooklyn Nets,82,108.1,3.144190715181933,2.8,8.2,15.739528795811516,10.1,7.2,37.6,30.0,25.2,66.9
Philadelphia 76ers,82,111.0,2.902099283773772,3.1,8.1,14.200976971388696,9.8,6.8,37.8,31.4,24.1,58.4
New Orleans Pelicans,82,109.7,2.8518265952264983,2.8,9.0,15.441176470588236,9.9,6.7,42.5,28.3,22.4,63.6
Charlotte Hornets,82,106.7,2.8825349671989104,3.3,8.6,15.95070422535211,10.0,6.9,39.6,29.4,24.1,63.5
Washington Wizards,82,105.8,2.8632899295185763,3.1,8.6,16.455696202531644,10.1,7.0,36.9,29.6,26.5,63.7
Utah Jazz,82,110.2,2.730377313145879,2.2,9.2,17.394442439552506,10.0,7.1,40.3,31.4,21.2,63.3
