TCI_Rank,OffRtg_Rank,Rank_Diff,TEAM,TCI,OffRtg,Predicted_OffRtg,Prediction_Error,Deviation
1,1,0,Boston Celtics,100.0,121.25,119.5,1.75,
2,2,0,Denver Nuggets,76.6,121.1,117.11,3.99,
3,3,0,Houston Rockets,72.2,119.65,116.66,2.99,
4,13,9,Cleveland Cavaliers,71.6,115.825,116.59,-0.77,↑↑ TCI高估
5,5,0,Oklahoma City Thunder,67.8,117.575,116.2,1.38,
6,6,0,New York Knicks,57.6,117.375,115.16,2.21,
7,7,0,Minnesota Timberwolves,57.0,117.325,115.1,2.22,
8,14,6,Chicago Bulls,53.9,114.95,114.79,0.16,↑↑ TCI高估
9,21,12,Milwaukee Bucks,53.3,113.7,114.73,-1.03,↑↑ TCI高估
10,8,-2,Los Angeles Lakers,50.0,116.55,114.38,2.17,
11,22,11,Toronto Raptors,49.1,113.525,114.29,-0.77,↑↑ TCI高估
12,20,8,Miami Heat,47.5,113.75,114.13,-0.38,↑↑ TCI高估
13,4,-9,Charlotte Hornets,45.9,117.75,113.96,3.79,↓↓ TCI低估
14,19,5,Phoenix Suns,45.6,113.875,113.94,-0.07,↑↑ TCI高估
15,11,-4,Golden State Warriors,43.8,115.975,113.75,2.23,
16,23,7,Atlanta Hawks,43.1,112.975,113.69,-0.71,↑↑ TCI高估
17,9,-8,San Antonio Spurs,40.5,116.525,113.42,3.11,↓↓ TCI低估
18,10,-8,Philadelphia 76ers,38.0,116.075,113.16,2.92,↓↓ TCI低估
19,12,-7,LA Clippers,33.8,115.85,112.73,3.12,↓↓ TCI低估
20,15,-5,Detroit Pistons,32.9,114.825,112.63,2.19,↓↓ TCI低估
21,28,7,Sacramento Kings,28.6,109.625,112.2,-2.58,↑↑ TCI高估
22,24,2,Memphis Grizzlies,26.4,112.85,111.97,0.88,
23,18,-5,Orlando Magic,21.2,114.0,111.44,2.56,↓↓ TCI低估
24,26,2,New Orleans Pelicans,21.1,111.35,111.44,-0.09,
25,27,2,Dallas Mavericks,20.2,109.7,111.34,-1.64,
26,29,3,Washington Wizards,15.0,109.5,110.81,-1.31,
27,16,-11,Utah Jazz,13.1,114.35,110.62,3.73,↓↓ TCI低估
28,17,-11,Portland Trail Blazers,12.5,114.075,110.55,3.53,↓↓ TCI低估
29,30,1,Indiana Pacers,9.6,107.575,110.26,-2.68,
30,25,-5,Brooklyn Nets,0.0,112.4,109.28,3.12,↓↓ TCI低估
